Region_ID,State,Mountain_Range,Nearby_River,Wildlife_Sanctuary,Restriction_Type,Dominant_Trees,Key_Animals,Minerals_Present,Elevation_m,Slope_deg,NDVI,Forest_Cover_Percent,Distance_to_River_km,Protected_Area,Existing_Mining,Mining_Allowed,Deforestation_Risk,Water_Pollution_Risk,Air_Pollution_Risk,Annual_Rainfall_mm,Seasonal_Rainfall_Variability,Avg_Temperature_C,Max_Temperature_C,Min_Temperature_C,Seismic_Zone,Population_Density_per_km2,Land_Use_Type,Mining_Employment_Dependency_%,Past_Mining_Accidents,Previous_Hazard_Report,Distance_to_Road_km,Distance_to_Rail_km,Distance_to_Town_km,Road_Connectivity,Rail_Connectivity
R2214,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",607,23,0.86,20,2,1,0,Yes,Low,High,Low,2920,1.37,18,21,13,III,1289,Forest,15,3,Low,9.9,16.1,46.9,Moderate,None
R2215,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",867,18,0.8,85,2.4,1,0,No,High,Medium,Low,1436,0.96,17,21,9,II,1363,Forest,17,3,Low,18.2,35.4,78.1,Good,Low
R2216,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",781,12,0.78,69,2.5,1,1,Yes,Low,High,Medium,2223,1.32,19,25,13,III,572,Forest,37,1,High,12.4,15.2,4.2,Good,Medium
R2217,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",676,17,0.67,67,0.9,1,0,No,Medium,Low,High,410,0.77,23,33,20,II,637,Agriculture,14,0,Low,6.5,48.3,149.5,Good,Low
R2218,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",778,8,0.25,43,2.8,1,0,Yes,Very High,High,Low,2353,0.35,16,23,8,II,445,Mixed,23,2,Low,19.3,13.6,37.7,Moderate,High
R2219,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",525,16,0.42,35,2.2,1,0,Yes,High,Medium,Low,2443,1.24,33,39,30,III,312,Mixed,12,0,High,1.8,30.9,77.6,Excellent,Medium
R2220,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",788,19,0.71,79,3.7,1,0,No,Medium,Medium,Medium,2712,1.21,16,26,11,II,822,Agriculture,17,0,Medium,17.6,38.6,81.3,Moderate,Medium
R2221,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",399,14,0.5,29,1.4,1,1,Yes,Medium,Medium,Low,1079,1.49,35,43,31,III,1050,Forest,42,2,Low,9.4,9,53,Moderate,Low
R2222,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",790,24,0.85,20,3.1,1,0,Yes,Low,Low,Medium,1021,0.28,31,41,24,V,217,Agriculture,11,1,Low,11.8,16.8,128.3,Good,Medium
R2223,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",454,11,0.44,74,1.7,1,0,Yes,High,Low,High,902,1.45,15,24,11,V,392,Urban,25,5,Low,9.1,47.5,149.7,Moderate,Low
R2224,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",874,17,0.62,34,4.7,1,0,Yes,Low,Low,Low,2630,0.42,19,29,16,III,615,Agriculture,20,1,Very High,10.3,19.5,54.7,Moderate,None
R2225,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",484,7,0.77,50,2.9,1,0,Yes,Medium,Low,Medium,2766,1.43,23,26,18,III,966,Forest,13,2,Very High,2.1,13.8,38,Moderate,None
R2226,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",183,11,0.36,67,1,1,0,Yes,Medium,Low,Medium,2669,1.12,28,38,25,III,742,Agriculture,6,4,Medium,12.2,57.7,74.8,Moderate,None
R2227,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",571,5,0.65,72,0.3,1,0,Yes,High,Medium,Medium,1538,0.64,22,28,17,II,304,Forest,25,2,Low,12.6,3.7,83.9,Moderate,Medium
R2228,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",652,4,0.63,72,0.2,1,1,Yes,Low,Medium,Low,2305,0.54,23,28,16,II,1476,Agriculture,68,0,Medium,5.8,14.9,28.7,Excellent,Low
R2229,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",476,20,0.55,59,5.2,1,1,No,Very High,High,Low,315,0.76,15,21,12,II,369,Agriculture,57,0,High,18,17.5,3.2,Moderate,High
R2230,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",717,4,0.65,43,4.8,1,1,Yes,Low,Low,Low,2104,0.25,23,26,15,IV,651,Forest,61,4,Low,8.3,42.7,121.5,Moderate,Medium
R2231,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",894,17,0.69,36,3.8,1,1,Yes,Very High,Medium,Medium,1224,1.32,19,26,15,III,667,Forest,63,1,Low,9,7.7,106.7,Excellent,Medium
R2232,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",827,26,0.57,26,4.4,1,0,Yes,High,Low,Medium,1577,1.26,25,29,18,V,1040,Forest,5,0,Medium,12.6,38.3,23.3,Good,None
R2233,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",204,18,0.48,25,5.9,1,1,Yes,High,Medium,High,2310,0.43,20,28,13,III,1345,Urban,45,4,Low,1.3,40.6,29.3,Poor,None
R2234,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",218,25,0.32,29,5.1,1,0,Yes,Medium,High,Medium,781,1.35,18,26,13,II,1187,Mixed,15,0,Low,15.2,17.5,34.9,Poor,Low
R2235,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",775,30,0.63,83,3.3,1,1,No,Very High,Medium,Medium,1552,1.19,24,29,16,II,1051,Agriculture,33,0,Very High,13.9,53.2,137.1,Excellent,None
R2236,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",792,27,0.36,29,3.8,1,0,Yes,Very High,High,Medium,3322,0.32,28,34,20,II,800,Mixed,23,0,High,8.2,45.2,116.4,Poor,Medium
R2237,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",486,27,0.48,16,2.6,1,0,Yes,Low,High,Medium,1070,0.87,23,31,15,II,1147,Forest,5,3,Medium,9.1,38.4,129,Moderate,Medium
R2238,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",621,17,0.63,18,6,1,0,Yes,Medium,Low,Medium,3056,1.12,29,38,26,II,517,Agriculture,7,0,Medium,11.9,1.4,115.2,Good,Low
R2239,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",422,10,0.32,72,3.3,1,0,Yes,Low,High,Low,964,1.15,35,38,28,III,978,Urban,21,0,Medium,6.5,25,91.2,Moderate,None
R2240,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",731,27,0.58,41,5.4,1,0,Yes,High,Low,Low,3127,0.8,27,31,24,III,255,Mixed,6,0,High,18,22.4,35.2,Poor,High
R2241,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",726,7,0.3,65,4.5,1,0,Yes,Low,High,High,3244,0.98,31,39,26,II,580,Forest,25,5,Low,14.2,49.9,68,Poor,None
R2242,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",539,20,0.86,57,5.1,1,1,No,Low,Medium,Medium,1195,1.02,21,27,17,III,893,Agriculture,65,3,Medium,19.8,22.7,145.9,Moderate,None
R2243,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",332,4,0.51,66,0.6,1,0,Yes,Medium,Low,Low,2785,0.7,16,25,13,IV,922,Forest,5,5,Medium,11.2,45.8,88.5,Poor,Low
R2244,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",656,28,0.39,77,1.4,1,1,No,Low,High,Low,2338,0.52,17,21,12,II,1037,Agriculture,36,0,Medium,17.1,31,67.2,Moderate,Medium
R2245,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",219,6,0.45,20,2.4,1,1,Yes,Low,Low,High,3009,0.6,22,25,14,IV,1357,Agriculture,63,0,High,10,53,41.7,Poor,None
R2246,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",553,28,0.4,64,5,1,0,No,Very High,Medium,Medium,672,0.23,16,21,11,III,1271,Forest,12,0,Low,9.2,32.1,126.8,Good,High
R2247,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",856,11,0.33,32,0.6,1,0,Yes,High,Medium,Medium,604,0.43,28,34,22,II,362,Mixed,10,0,Medium,15.3,36.1,140.6,Moderate,Medium
R2248,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",658,4,0.76,42,2.2,1,0,Yes,Low,Medium,Low,539,0.75,20,24,14,III,564,Urban,21,0,Very High,7.4,41.8,148.4,Good,None
R2249,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",788,22,0.4,66,0.9,1,1,No,Medium,Medium,High,313,0.84,17,23,10,V,1376,Agriculture,50,0,Very High,13.8,55.6,29.5,Excellent,Medium
R2250,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",195,16,0.76,31,2.7,1,1,Yes,Medium,Medium,Medium,2666,0.23,34,38,31,V,1346,Forest,33,0,Low,15.2,20,22.5,Poor,Medium
R2251,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",603,30,0.44,36,1.6,1,0,Yes,Medium,Medium,Low,3349,0.24,18,24,11,II,1039,Forest,20,4,Very High,0.9,40,15.8,Good,None
R2252,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",283,19,0.46,65,4.1,1,0,No,Very High,Medium,Medium,3225,0.34,34,44,28,II,1123,Forest,20,3,Low,15.5,13.1,103.5,Moderate,None
R2253,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",666,18,0.55,55,3.7,1,1,No,Very High,Medium,Medium,3027,1.3,35,43,28,II,839,Urban,46,0,Low,2.9,50.4,54.8,Moderate,Medium
R2254,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",598,17,0.4,22,1.1,1,0,Yes,Very High,Low,Low,2119,0.76,25,30,20,II,1166,Forest,5,5,Low,7.5,42.4,123.1,Poor,High
R2255,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",685,29,0.82,35,0.7,1,1,Yes,Medium,Medium,High,1860,0.86,23,27,20,IV,465,Forest,59,2,High,14.2,35.7,121.7,Good,Medium
R2256,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",478,28,0.65,73,0.3,1,1,No,High,Low,High,1835,0.41,29,39,22,V,1314,Forest,65,1,Medium,19.6,54.2,10,Excellent,None
R2257,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",309,23,0.7,18,3.2,1,0,Yes,Very High,Medium,Low,2324,1.24,25,32,18,II,1114,Forest,22,1,Low,7.4,37.6,45.5,Poor,Medium
R2258,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",635,24,0.57,56,0.7,1,0,No,Low,Medium,High,3398,0.35,25,32,18,IV,593,Agriculture,15,1,Low,9.5,43.3,133.4,Good,Medium
R2259,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",564,12,0.59,21,1.7,1,1,Yes,High,Low,Medium,1146,1.2,23,27,19,II,495,Mixed,40,1,Low,2.8,45.4,45.1,Good,Medium
R2260,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",607,4,0.44,33,4.8,1,1,Yes,Low,Medium,High,721,1.15,30,39,22,III,1068,Urban,46,0,Medium,4.8,23.2,39.4,Poor,None
R2261,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",401,21,0.5,71,1.6,1,1,No,Medium,Low,Medium,1697,0.7,19,23,14,III,339,Forest,48,1,Low,7.8,44.7,63.4,Poor,High
R2262,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",249,5,0.66,59,0.6,1,1,Yes,Medium,Medium,Medium,1112,0.41,16,22,13,II,590,Forest,33,0,Low,17.3,10.9,100,Moderate,Low
R2263,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",359,26,0.44,30,2.7,1,1,Yes,Very High,Low,High,1247,1.45,20,29,12,V,733,Agriculture,62,0,Medium,5.9,5.8,140.2,Moderate,None
R2264,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",500,26,0.34,64,5.1,1,0,No,Medium,Medium,High,2879,0.85,22,25,18,III,60,Mixed,13,1,Very High,6.4,42.2,54.8,Good,None
R2265,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",714,6,0.29,21,5.6,1,1,Yes,Very High,High,Medium,2444,0.85,34,37,31,III,1116,Agriculture,62,2,Medium,19.5,5.4,33.6,Moderate,Medium
R2266,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",832,5,0.41,69,0.7,1,0,Yes,High,Low,High,2252,1.2,31,36,28,II,454,Agriculture,11,0,High,18.6,14.9,10.7,Moderate,Low
R2267,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",189,22,0.52,50,4.1,1,1,Yes,Low,Medium,Medium,346,0.9,26,33,18,II,901,Agriculture,68,2,Medium,17.9,17.1,127.6,Poor,None
R2268,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",800,26,0.56,18,5.8,1,1,Yes,High,Low,Low,3323,0.88,28,32,24,II,421,Mixed,68,4,High,7.2,34.9,29.9,Moderate,None
R2269,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",387,4,0.62,71,0.3,1,0,Yes,High,High,Low,1785,1.25,33,41,30,II,189,Forest,10,1,High,14.1,44.8,33.8,Poor,High
R2270,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",760,6,0.48,19,1.7,1,0,Yes,High,High,Low,3232,0.2,16,22,10,IV,162,Urban,10,0,High,9.9,25.4,30.1,Moderate,Medium
R2271,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",716,16,0.67,85,2.1,1,0,No,Very High,Medium,Medium,1516,0.93,18,26,15,II,1158,Forest,8,1,High,2,11.5,101.1,Moderate,Medium
R2272,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",233,23,0.43,74,1.7,1,0,No,Very High,Low,Medium,1516,0.5,17,25,13,II,926,Mixed,14,1,High,5,40.1,66.2,Good,None
R2273,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",451,29,0.63,21,6.1,1,1,Yes,Low,High,Medium,602,1.48,22,29,16,II,1137,Urban,49,2,Very High,6.1,35.2,49.2,Good,None
R2274,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",402,10,0.28,16,2.3,1,0,Yes,Very High,Medium,Medium,2791,0.45,20,25,14,II,583,Forest,13,2,Medium,13.7,47.1,92.8,Moderate,None
R2275,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",826,12,0.33,70,0.7,1,0,Yes,Low,Medium,Low,1801,0.54,18,21,10,III,484,Urban,10,2,High,12,32.3,71.5,Poor,None
R2276,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",790,27,0.51,67,5.7,1,1,No,Medium,Low,Medium,890,1.47,26,33,18,II,1006,Forest,38,1,High,18.6,38.5,59,Moderate,High
R2277,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",694,30,0.53,16,4.6,1,1,Yes,Medium,High,High,449,0.53,23,26,18,III,693,Forest,33,1,Low,13.8,41.1,12.1,Poor,Low
R2278,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",487,18,0.75,32,5.3,1,1,Yes,Low,High,Medium,2733,1.08,18,26,11,IV,1242,Forest,38,0,Low,13.9,15.8,128.7,Moderate,None
R2279,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",171,18,0.74,61,3.6,1,1,No,Low,Medium,Medium,2132,1.31,28,38,21,V,1103,Forest,66,0,Medium,9.7,52.9,73.3,Moderate,High
R2280,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",841,28,0.83,49,2.7,1,1,Yes,High,High,Low,1876,0.74,25,31,21,II,992,Mixed,57,0,Medium,7.4,19.1,130.5,Excellent,Medium
R2281,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",508,19,0.72,20,0.7,1,0,Yes,High,Medium,High,555,1.28,31,39,26,IV,1189,Forest,10,0,Low,3.5,3.1,54.1,Poor,Medium
R2282,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",331,15,0.41,78,1.1,1,1,Yes,High,Medium,Low,3196,1,26,33,21,II,286,Mixed,35,5,Medium,0.4,56.6,70.3,Good,Low
R2283,Telangana,Eastern Ghats,Godavari,Kawal Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Neem","Tiger, Deer","Granite, Limestone",547,7,0.58,36,5.4,1,0,Yes,Low,High,Medium,1925,1.26,33,39,25,V,149,Urban,16,1,Low,17.6,19.9,140.9,Moderate,High
R2284,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",364,18,0.52,85,5.8,1,1,No,Medium,Low,High,3440,0.75,25,35,20,II,330,Agriculture,60,4,High,0.8,26.1,124.3,Good,Medium
R2285,Karnataka,Western Ghats,Sharavathi,Dandeli Wildlife Sanctuary,Wildlife Sanctuary,"Teak, Rosewood","Tiger, Elephant","Gold, Iron Ore",506,16,0.36,33,0.5,1,0,Yes,Very High,Medium,Medium,1691,1.19,26,33,20,II,309,Urban,8,3,High,7.5,25,43.3,Excellent,Low
R2286,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",368,11,0.57,72,5.7,1,0,Yes,Low,High,Medium,2610,1.39,34,41,31,II,1294,Forest,22,5,High,11.3,33.2,108.9,Moderate,None
R2287,Madhya Pradesh,Satpura Range,Narmada,Pachmarhi Wildlife Sanctuary,Biosphere Reserve,"Teak, Sal","Gaur, Leopard","Manganese, Copper",150,16,0.29,71,0.8,1,1,No,Low,High,High,2742,0.87,25,30,17,IV,803,Forest,35,4,High,17.5,57.8,106.7,Good,Medium
R2288,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",492,22,0.56,43,0.9,1,0,Yes,Medium,High,Medium,3485,1.15,27,34,24,II,1235,Agriculture,19,0,Medium,8.6,15.2,70.2,Excellent,Medium
R2289,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",293,23,0.36,56,5.3,1,1,No,Low,Medium,Medium,596,0.35,15,23,8,II,1092,Forest,58,4,Medium,13.5,48.5,36.4,Good,None
R2290,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",573,9,0.71,47,4.8,1,0,Yes,Very High,High,High,2740,1.1,27,33,23,IV,923,Forest,5,5,High,0.7,21.8,142.8,Moderate,None
R2291,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",573,21,0.69,31,5.1,1,1,Yes,Very High,High,Medium,604,0.65,33,40,26,IV,256,Agriculture,37,0,High,9.2,5.3,112.9,Poor,Medium
R2292,Odisha,Eastern Ghats,Brahmani,Similipal Wildlife Sanctuary,Biosphere Reserve,"Sal, Bamboo","Elephant, Tiger","Iron Ore, Bauxite",864,14,0.78,42,4.5,1,1,Yes,Low,Low,Low,1115,1.39,21,28,15,IV,595,Forest,61,0,Medium,1,6,143.3,Good,Low
R2293,Goa,Western Ghats,Mandovi,Bhagwan Mahavir Sanctuary,Wildlife Sanctuary,"Evergreen Trees, Bamboo","Hornbill, Deer","Iron Ore, Laterite",164,25,0.53,18,4.6,1,0,Yes,High,Medium,Medium,2464,0.48,22,28,16,III,147,Agriculture,17,2,Medium,8.5,35.8,74.9,Moderate,Medium
R2294,Assam,Eastern Himalayas,Brahmaputra,Kaziranga Wildlife Sanctuary,National Park,"Elephant Grass, Reed","Rhino, Deer","Coal, Limestone",261,23,0.78,25,4.5,1,0,Yes,High,Medium,High,2350,1.3,23,32,20,III,177,Urban,5,1,High,16.1,41.4,67.3,Good,Medium
R2295,Rajasthan,Aravalli Range,Sabarmati,Kumbhalgarh Wildlife Sanctuary,Eco-Sensitive Zone,"Khejri, Banyan","Leopard, Hyena","Marble, Limestone",667,30,0.81,28,1,1,0,Yes,Low,Medium,High,1159,0.96,18,21,13,II,1463,Agriculture,8,0,Medium,14.8,26.9,140.8,Good,None
R2296,Chhattisgarh,Maikal Hills,Hasdeo,Achanakmar Wildlife Sanctuary,Biosphere Reserve,"Sal, Mahua","Bear, Tiger","Coal, Bauxite",503,30,0.38,16,3.1,1,0,Yes,Very High,Low,Low,1048,0.58,23,32,16,IV,1224,Forest,7,4,Low,1.8,10.9,42.6,Poor,Medium
